subject,object,predicat
compound_323,decrease_efficacy,compound_11377
compound_323,decrease_efficacy,compound_11624
compound_323,decrease_efficacy,compound_1164
compound_323,decrease_efficacy,compound_1166
compound_323,decrease_efficacy,compound_12222
compound_323,decrease_efficacy,compound_1233
compound_323,decrease_efficacy,compound_1253
compound_323,decrease_efficacy,compound_1267
compound_323,decrease_efficacy,compound_1317
compound_323,decrease_efficacy,compound_1319
compound_323,decrease_efficacy,compound_1320
compound_323,decrease_efficacy,compound_1325
compound_323,decrease_efficacy,compound_1326
compound_323,decrease_efficacy,compound_1340
compound_323,decrease_efficacy,compound_1346
compound_323,decrease_efficacy,compound_1347
compound_323,decrease_efficacy,compound_1408
compound_323,decrease_efficacy,compound_1467
compound_323,decrease_efficacy,compound_1564
compound_323,decrease_efficacy,compound_201
compound_323,decrease_efficacy,compound_207
compound_323,decrease_efficacy,compound_211
compound_323,decrease_efficacy,compound_2238
compound_323,decrease_efficacy,compound_2681
compound_323,decrease_efficacy,compound_282
compound_323,decrease_efficacy,compound_357
compound_323,decrease_efficacy,compound_376
compound_323,decrease_efficacy,compound_385
compound_323,decrease_efficacy,compound_410
compound_323,decrease_efficacy,compound_4532
compound_323,decrease_efficacy,compound_4539
compound_323,decrease_efficacy,compound_4540
compound_323,decrease_efficacy,compound_4580
compound_323,decrease_efficacy,compound_4608
compound_323,decrease_efficacy,compound_4729
compound_323,decrease_efficacy,compound_4997
compound_323,decrease_efficacy,compound_5004
compound_323,decrease_efficacy,compound_531
compound_323,decrease_efficacy,compound_567
compound_323,decrease_efficacy,compound_571
compound_323,decrease_efficacy,compound_5745
compound_323,decrease_efficacy,compound_5752
compound_323,decrease_efficacy,compound_5765
compound_323,decrease_efficacy,compound_596
compound_323,decrease_efficacy,compound_615
compound_323,decrease_efficacy,compound_619
compound_323,decrease_efficacy,compound_662
compound_323,decrease_efficacy,compound_67
compound_323,decrease_efficacy,compound_696
compound_323,decrease_efficacy,compound_708
compound_323,decrease_efficacy,compound_7888
compound_323,decrease_efficacy,compound_7930
compound_323,decrease_efficacy,compound_799
compound_323,decrease_efficacy,compound_8136
compound_323,decrease_efficacy,compound_8137
compound_323,decrease_efficacy,compound_8138
compound_323,decrease_efficacy,compound_824
compound_323,decrease_efficacy,compound_826
compound_323,decrease_efficacy,compound_850
compound_323,decrease_efficacy,compound_854
compound_323,decrease_efficacy,compound_884
compound_323,decrease_efficacy,compound_918
compound_323,decrease_efficacy,compound_921
compound_323,decrease_efficacy,compound_927
compound_323,decrease_efficacy,compound_9491
compound_323,decrease_efficacy,compound_951
compound_323,decrease_efficacy,compound_964
compound_323,decrease_efficacy,compound_966
compound_323,decrease_efficacy,compound_972
compound_323,decrease_efficacy,compound_984
compound_323,decrease_efficacy,compound_993
compound_323,decrease_efficacy,compound_1019
compound_323,decrease_efficacy,compound_11169
compound_323,decrease_efficacy,compound_11347
compound_323,decrease_efficacy,compound_11353
compound_323,decrease_efficacy,compound_180
compound_323,decrease_efficacy,compound_1997
compound_323,decrease_efficacy,compound_238
compound_323,decrease_efficacy,compound_258
compound_323,decrease_efficacy,compound_313
compound_323,decrease_efficacy,compound_401
compound_323,decrease_efficacy,compound_482
compound_323,decrease_efficacy,compound_560
compound_323,decrease_efficacy,compound_575
compound_323,decrease_efficacy,compound_5757
compound_323,decrease_efficacy,compound_699
compound_323,decrease_efficacy,compound_783
compound_323,decrease_efficacy,compound_7834
compound_323,decrease_efficacy,compound_8135
compound_323,decrease_efficacy,compound_8177
compound_323,decrease_efficacy,compound_9080
compound_323,decrease_efficacy,compound_11515
compound_323,decrease_efficacy,compound_11522
compound_323,decrease_efficacy,compound_11554
compound_323,decrease_efficacy,compound_8154
compound_323,decrease_efficacy,compound_8323
compound_323,decrease_efficacy,compound_7873
compound_323,decrease_efficacy,compound_8203
compound_323,decrease_efficacy,compound_11868
compound_323,decrease_efficacy,compound_12441
