subject,object,predicat
compound/compound_323,decrease_efficacy,compound_11377
compound/compound_323,decrease_efficacy,compound_11624
compound/compound_323,decrease_efficacy,compound_1164
compound/compound_323,decrease_efficacy,compound_1166
compound/compound_323,decrease_efficacy,compound_12222
compound/compound_323,decrease_efficacy,compound_1233
compound/compound_323,decrease_efficacy,compound_1253
compound/compound_323,decrease_efficacy,compound_1267
compound/compound_323,decrease_efficacy,compound_1317
compound/compound_323,decrease_efficacy,compound_1319
compound/compound_323,decrease_efficacy,compound_1320
compound/compound_323,decrease_efficacy,compound_1325
compound/compound_323,decrease_efficacy,compound_1326
compound/compound_323,decrease_efficacy,compound_1340
compound/compound_323,decrease_efficacy,compound_1346
compound/compound_323,decrease_efficacy,compound_1347
compound/compound_323,decrease_efficacy,compound_1408
compound/compound_323,decrease_efficacy,compound_1467
compound/compound_323,decrease_efficacy,compound_1564
compound/compound_323,decrease_efficacy,compound_201
compound/compound_323,decrease_efficacy,compound_207
compound/compound_323,decrease_efficacy,compound_211
compound/compound_323,decrease_efficacy,compound_2238
compound/compound_323,decrease_efficacy,compound_2681
compound/compound_323,decrease_efficacy,compound_282
compound/compound_323,decrease_efficacy,compound_357
compound/compound_323,decrease_efficacy,compound_376
compound/compound_323,decrease_efficacy,compound_385
compound/compound_323,decrease_efficacy,compound_410
compound/compound_323,decrease_efficacy,compound_4532
compound/compound_323,decrease_efficacy,compound_4539
compound/compound_323,decrease_efficacy,compound_4540
compound/compound_323,decrease_efficacy,compound_4580
compound/compound_323,decrease_efficacy,compound_4608
compound/compound_323,decrease_efficacy,compound_4729
compound/compound_323,decrease_efficacy,compound_4997
compound/compound_323,decrease_efficacy,compound_5004
compound/compound_323,decrease_efficacy,compound_531
compound/compound_323,decrease_efficacy,compound_567
compound/compound_323,decrease_efficacy,compound_571
compound/compound_323,decrease_efficacy,compound_5745
compound/compound_323,decrease_efficacy,compound_5752
compound/compound_323,decrease_efficacy,compound_5765
compound/compound_323,decrease_efficacy,compound_596
compound/compound_323,decrease_efficacy,compound_615
compound/compound_323,decrease_efficacy,compound_619
compound/compound_323,decrease_efficacy,compound_662
compound/compound_323,decrease_efficacy,compound_67
compound/compound_323,decrease_efficacy,compound_696
compound/compound_323,decrease_efficacy,compound_708
compound/compound_323,decrease_efficacy,compound_7888
compound/compound_323,decrease_efficacy,compound_7930
compound/compound_323,decrease_efficacy,compound_799
compound/compound_323,decrease_efficacy,compound_8136
compound/compound_323,decrease_efficacy,compound_8137
compound/compound_323,decrease_efficacy,compound_8138
compound/compound_323,decrease_efficacy,compound_824
compound/compound_323,decrease_efficacy,compound_826
compound/compound_323,decrease_efficacy,compound_850
compound/compound_323,decrease_efficacy,compound_854
compound/compound_323,decrease_efficacy,compound_884
compound/compound_323,decrease_efficacy,compound_918
compound/compound_323,decrease_efficacy,compound_921
compound/compound_323,decrease_efficacy,compound_927
compound/compound_323,decrease_efficacy,compound_9491
compound/compound_323,decrease_efficacy,compound_951
compound/compound_323,decrease_efficacy,compound_964
compound/compound_323,decrease_efficacy,compound_966
compound/compound_323,decrease_efficacy,compound_972
compound/compound_323,decrease_efficacy,compound_984
compound/compound_323,decrease_efficacy,compound_993
compound/compound_323,decrease_efficacy,compound_1019
compound/compound_323,decrease_efficacy,compound_11169
compound/compound_323,decrease_efficacy,compound_11347
compound/compound_323,decrease_efficacy,compound_11353
compound/compound_323,decrease_efficacy,compound_180
compound/compound_323,decrease_efficacy,compound_1997
compound/compound_323,decrease_efficacy,compound_238
compound/compound_323,decrease_efficacy,compound_258
compound/compound_323,decrease_efficacy,compound_313
compound/compound_323,decrease_efficacy,compound_401
compound/compound_323,decrease_efficacy,compound_482
compound/compound_323,decrease_efficacy,compound_560
compound/compound_323,decrease_efficacy,compound_575
compound/compound_323,decrease_efficacy,compound_5757
compound/compound_323,decrease_efficacy,compound_699
compound/compound_323,decrease_efficacy,compound_783
compound/compound_323,decrease_efficacy,compound_7834
compound/compound_323,decrease_efficacy,compound_8135
compound/compound_323,decrease_efficacy,compound_8177
compound/compound_323,decrease_efficacy,compound_9080
compound/compound_323,decrease_efficacy,compound_11515
compound/compound_323,decrease_efficacy,compound_11522
compound/compound_323,decrease_efficacy,compound_11554
compound/compound_323,decrease_efficacy,compound_8154
compound/compound_323,decrease_efficacy,compound_8323
compound/compound_323,decrease_efficacy,compound_7873
compound/compound_323,decrease_efficacy,compound_8203
compound/compound_323,decrease_efficacy,compound_11868
compound/compound_323,decrease_efficacy,compound_12441
compound/compound_323,decrease_efficacy,compound_9641
compound/compound_323,decrease_efficacy,compound_12283
compound/compound_323,decrease_efficacy,compound_5442
compound/compound_323,decrease_efficacy,compound_5455
compound/compound_323,decrease_efficacy,compound_5749
compound/compound_323,decrease_efficacy,compound_5813
compound/compound_323,decrease_efficacy,compound_7965
compound/compound_323,decrease_efficacy,compound_7967
compound/compound_323,decrease_efficacy,compound_9673
compound/compound_323,decrease_efficacy,compound_10050
compound/compound_323,decrease_efficacy,compound_10375
compound/compound_323,decrease_efficacy,compound_10723
compound/compound_323,decrease_efficacy,compound_10809
compound/compound_323,decrease_efficacy,compound_10928
compound/compound_323,decrease_efficacy,compound_11006
compound/compound_323,decrease_efficacy,compound_11035
compound/compound_323,decrease_efficacy,compound_11108
compound/compound_323,decrease_efficacy,compound_11109
compound/compound_323,decrease_efficacy,compound_11234
compound/compound_323,decrease_efficacy,compound_11241
compound/compound_323,decrease_efficacy,compound_11253
compound/compound_323,decrease_efficacy,compound_11261
compound/compound_323,decrease_efficacy,compound_11299
compound/compound_323,decrease_efficacy,compound_11301
compound/compound_323,decrease_efficacy,compound_11354
compound/compound_323,decrease_efficacy,compound_11410
compound/compound_323,decrease_efficacy,compound_11467
compound/compound_323,decrease_efficacy,compound_11484
compound/compound_323,decrease_efficacy,compound_11539
compound/compound_323,decrease_efficacy,compound_11541
compound/compound_323,decrease_efficacy,compound_11861
compound/compound_323,decrease_efficacy,compound_12238
compound/compound_323,decrease_efficacy,compound_12390
